postcode_sector,relative_area,population_density,multiple_deprivation_index,income_deprivation_index,employment_deprivation_index,crime_deprivation_index,rural_urban,distance_to_station,never_worked,region
SS992,57.290000000000006,34.92,28.375799999999998,0.16840000000000002,0.13999999999999999,0.665,Urban city and town,0.7465056000000001,Average,East of England
SS993,28.87,41.800000000000004,37.433,0.2233333333333333,0.18400000000000002,1.0363333333333333,Urban city and town,0.745174,Average,East of England
SS994,24.67,37.35,35.471999999999994,0.2,0.169,1.0875,Urban city and town,0.8155975,['Average' 'High'],East of England
SS995,24.67,37.35,35.471999999999994,0.2,0.169,1.0875,Urban city and town,0.8155975,['Average' 'High'],East of England
SS996,611.48,25.772727272727277,16.33384090909091,0.09536363636363632,0.08149999999999999,0.17129545454545456,Urban city and town,0.7482760227272724,Average,East of England
SS997,14.66,50.400000000000006,48.75449999999999,0.29200000000000004,0.239,1.5005,Urban city and town,0.7435095,['Average' 'High'],East of England
SS998,24.67,37.35,35.471999999999994,0.2,0.169,1.0875,Urban city and town,0.8155975,['Average' 'High'],East of England
SS999,491.2899999999997,39.40238095238093,39.877142857142836,0.23190476190476195,0.191,1.2330714285714288,Urban city and town,0.7727615476190473,High,East of England
ST101,23710.179999999997,25.363513513513468,16.513155405405417,0.10821283783783789,0.11749662162162171,-0.4915675675675684,Urban city and town,5.691500067567565,Average,West Midlands
ST102,83469.04000000001,3.18488372093023,15.898395348837226,0.08439534883720926,0.0918837209302326,-0.4556104651162788,Rural village,8.040078255813949,Average,West Midlands
ST103,101581.31000000008,0.6981308411214961,16.598831775700923,0.060616822429906535,0.07142056074766366,-0.9946355140186928,Rural hamlet and isolated dwellings,13.485348224299063,Average,West Midlands
ST104,99147.97999999986,10.357272727272706,10.213736363636373,0.05595454545454535,0.057436363636363445,-0.6815090909090908,Rural village,7.205214409090911,Average,West Midlands
ST109,29.880000000000003,29.0,25.410999999999998,0.16899999999999996,0.157,-0.006999999999999999,Urban city and town,5.79999,Average,West Midlands
ST11,5199.390000000007,5.45975609756098,72.41541463414647,0.39240243902439026,0.3602926829268292,1.8462317073170726,Urban city and town,1.8947811829268297,Average,West Midlands
ST119,28715.539999999997,19.12556053811659,12.872533632287025,0.07855605381165928,0.10044843049327351,-0.349273542600897,Urban city and town,1.4354702376681607,Average,West Midlands
ST12,1327.6900000000014,64.46567164179108,54.91829850746272,0.30925373134328354,0.278880597014925,1.1915820895522387,Urban city and town,2.5172690298507465,Average,West Midlands
ST129,24638.529999999995,8.081196581196581,16.043316239316244,0.10123931623931637,0.10904273504273505,-0.4114444444444443,Rural village,4.104056905982906,Average,West Midlands
ST13,3512.1699999999987,42.993367346938804,52.62148469387758,0.2846122448979605,0.2620255102040821,1.3212244897959202,Urban city and town,1.5882521224489785,Average,West Midlands
ST135,6681.279999999997,44.05147058823532,21.315514705882407,0.13133333333333308,0.12381862745098032,0.19466176470588273,Urban city and town,12.861582843137251,Average,West Midlands
ST136,2067.1599999999994,47.14069767441863,27.52487209302322,0.1725058139534886,0.14884883720930242,0.10135465116279097,Urban city and town,12.990276162790696,Average,West Midlands
ST137,143984.60999999993,9.209958506224055,13.920709543568444,0.05788796680497934,0.062456431535269814,-0.6505518672199169,Rural hamlet and isolated dwellings,12.969651078838167,Average,West Midlands
ST138,167128.19,29.224100719424474,16.57890287769782,0.08485971223021618,0.08714748201438817,-0.4145071942446028,Urban city and town,11.219793129496408,Average,West Midlands
ST139,601.8699999999999,27.641025641025642,25.86984615384616,0.16341025641025642,0.1512307692307693,0.4029230769230771,Urban city and town,12.521187179487189,Average,West Midlands
ST14,2979.3200000000015,54.13983739837397,51.606219512195075,0.3084715447154472,0.24054471544715475,0.9920894308943086,Urban city and town,1.3463587642276424,High,West Midlands
ST145,74981.11999999998,10.309815950920244,12.943852760736185,0.07277914110429443,0.0632699386503066,-1.0310306748466254,Rural hamlet and isolated dwellings,5.381666441717795,Average,West Midlands
ST147,5773.709999999996,39.18675799086755,17.03622831050225,0.1066438356164385,0.09746575342465734,-0.1801826484018263,Urban city and town,1.4781433835616435,Average,West Midlands
ST148,103805.21999999997,11.789849624060139,13.002879699248092,0.06762030075188002,0.05699999999999995,-0.2527669172932329,Urban city and town,2.311154541353384,Average,West Midlands
ST149,157.5,13.700000000000001,11.507,0.077,0.059000000000000004,0.435,Urban city and town,0.5926833333333333,Average,West Midlands
ST15,8796.800000000005,26.473780487804884,48.56110975609754,0.2957317073170731,0.22420731707317024,1.3894695121951206,Urban city and town,2.110949249999999,High,West Midlands
ST150,79267.78000000014,17.14778156996586,10.609969283276453,0.06304095563139947,0.07831058020477838,-0.8729010238907841,Urban city and town,2.5939241023890776,Average,West Midlands
ST158,54313.319999999956,26.628374655647345,11.45648484848487,0.07597245179063374,0.07552066115702473,-0.6278512396694227,Urban city and town,1.7463187410468315,Average,West Midlands
ST159,1386.1699999999996,5.8133333333333335,8.108999999999998,0.04800000000000001,0.06200000000000003,-1.7719999999999994,Urban city and town,2.496394000000001,Average,West Midlands
ST16,2180.8599999999997,53.586100386100334,27.26330501930502,0.1645328185328183,0.1490810810810814,0.4550270270270265,Urban city and town,3.231801463320464,Average,West Midlands
ST161,11553.02,33.59225806451615,14.779816129032318,0.10846451612903248,0.09411612903225793,-0.34979354838709725,Urban city and town,2.091349154838711,Average,West Midlands
ST162,2680.489999999996,16.038853503184725,28.220662420382183,0.14982165605095546,0.12049681528662404,0.4658089171974521,Urban city and town,0.5886169566878979,Average,West Midlands
ST163,6285.1,46.11339285714281,17.157482142857155,0.0988779761904764,0.09156547619047645,-0.2539523809523807,Urban city and town,1.6822843035714279,Average,West Midlands
ST169,2227.66,13.690277777777782,17.296277777777803,0.0980555555555557,0.07683333333333332,0.4635000000000001,Urban city and town,0.2650013611111111,Average,West Midlands
ST170,71744.28999999995,20.29820788530467,4.146713261648751,0.03240860215053769,0.04243010752688159,-1.349405017921145,Urban city and town,4.012448419354838,Average,West Midlands
ST174,4297.680000000001,37.21797752808992,14.634486891385748,0.09972659176029978,0.08953183520599257,-0.2808501872659174,Urban city and town,2.0312775580524334,Average,West Midlands
ST179,3366.779999999993,44.21210374639765,22.854472622478436,0.1523141210374638,0.14296829971181596,0.1857665706051877,Urban city and town,1.8506676974063407,Average,West Midlands
ST180,179453.87000000005,8.226063829787234,9.068281914893614,0.05219946808510636,0.04905851063829767,-1.287095744680849,Rural town and fringe,5.898040119680844,Average,West Midlands
ST189,148661.04000000018,2.3396313364055334,10.09276036866359,0.04607373271889398,0.05416129032258046,-1.082073732718893,Rural village,4.733311059907832,Average,West Midlands
ST195,72580.40999999989,26.16518218623481,12.195238866396743,0.09005263157894745,0.0844696356275303,-0.6036842105263163,Rural town and fringe,1.3164377773279363,Average,West Midlands
ST199,67507.68999999999,14.18563829787236,11.432281914893627,0.07943085106383006,0.06761170212765945,-0.2943244680851059,Rural town and fringe,5.9063605797872345,Average,West Midlands
ST20,2937.57,46.556034482758626,59.55457758620686,0.3680732758620698,0.30244396551724134,0.9568749999999999,Urban city and town,2.6120641810344805,High,West Midlands
ST200,121014.66999999998,9.411926605504576,11.75695412844038,0.06066055045871557,0.05594954128440356,-0.8592935779816538,Rural hamlet and isolated dwellings,10.60953053669725,Average,West Midlands
ST216,149623.59000000017,7.212796208530791,12.465696682464468,0.06221800947867297,0.06280568720379145,-0.8811658767772529,Rural hamlet and isolated dwellings,9.11018909478673,Average,West Midlands
ST27,2962.2999999999997,39.61942857142857,14.116274285714313,0.08742285714285675,0.09665714285714283,-0.3405714285714285,Urban city and town,5.2681981142857115,Average,West Midlands
ST28,2666.2499999999977,39.4065476190476,47.130886904761915,0.3050416666666661,0.25641666666666724,0.6690952380952394,Urban city and town,3.974348928571428,Average,West Midlands
ST29,2400.1400000000012,38.44419889502765,28.575939226519342,0.17139226519337059,0.16793922651933685,0.2134806629834253,Urban city and town,2.989692651933701,Average,West Midlands
ST31,5089.230000000002,37.196650717703385,38.667339712918775,0.21809090909090897,0.20983732057416388,0.865564593301434,Urban city and town,0.636678941148325,Average,West Midlands
ST32,3329.7400000000043,38.579381443298935,35.289314432989684,0.20722164948453606,0.2057268041237113,0.40159793814433015,Urban city and town,1.0371710979381434,Average,West Midlands
ST33,4366.309999999999,43.12662721893491,41.79237869822487,0.2586331360946745,0.25331360946745557,0.6162544378698228,Urban city and town,2.3542730769230777,Average,West Midlands
ST34,8980.060000000025,55.3814977973568,37.02206607929524,0.23155947136563876,0.20434361233480133,0.571096916299561,Urban city and town,1.4506815814977978,Average,West Midlands
ST35,5840.229999999992,50.693165467625924,25.69451798561154,0.14716187050359664,0.14868345323741014,0.07499640287769785,Urban city and town,1.6585155323741005,Average,West Midlands
ST36,1919.9699999999998,46.893577981651426,37.322371559633105,0.2232568807339448,0.21191743119266124,0.23649082568807264,Urban city and town,2.5394327522935773,Average,West Midlands
ST37,8516.62,32.20886850152903,19.685455657492312,0.1211559633027518,0.12720489296636092,-0.3330428134556568,Urban city and town,2.386902385321101,Average,West Midlands
ST39,84.29999999999998,34.120000000000005,51.32799999999999,0.3410000000000001,0.23300000000000004,1.183,Urban city and town,1.72195,Average,West Midlands
ST41,1877.8599999999979,24.355696202531657,38.1223670886076,0.22639240506329106,0.1859113924050633,0.6499493670886075,Urban city and town,0.513729341772152,High,West Midlands
ST42,3814.170000000002,50.78700564971748,35.07205084745763,0.19276836158192098,0.15566101694915233,0.49910734463276873,Urban city and town,0.9208959966101691,Average,West Midlands
ST43,2283.089999999998,46.11011235955059,41.37053370786528,0.2459438202247189,0.19768539325842735,0.9601235955056195,Urban city and town,1.2225464494382023,Average,West Midlands
ST44,4214.369999999999,47.60000000000004,32.416345000000106,0.20051,0.16469999999999987,0.3703349999999997,Urban city and town,1.6180742950000002,Average,West Midlands
ST45,2196.4899999999993,55.24581280788173,26.200024630541815,0.17003448275862085,0.14723645320197062,0.282384236453202,Urban city and town,1.8582553497536956,Average,West Midlands
ST46,2785.189999999998,46.34292237442925,24.57987214611868,0.15077168949771716,0.13764383561643825,0.19981735159817302,Urban city and town,2.268540547945205,Average,West Midlands
